"ID,N,4,0","WIDTH,N,17,15","HEIGHT,N,17,15","AREA,N,17,15","PERIMETER,N,17,15"
415,"0,035625","0,028541","0,001017","0,128332"
416,"0,024695","0,02601","0,000642","0,101411"
417,"0,01589","0,016497","0,000262","0,064773"
418,"0,015485","0,01589","0,000246","0,062749"
419,"0,016902","0,016801","0,000284","0,067405"
420,"0,013461","0,015788","0,000213","0,058498"
421,"0,017711","0,013511","0,000239","0,062445"
422,"0,135856","0,126556","0,017193","0,524825"
423,"0,075206","0,101892","0,007663","0,354196"
424,"0,076823","0,088549","0,006803","0,330745"
425,"0,06065","0,081271","0,004929","0,283842"
426,"0,094614","0,098657","0,009334","0,386543"
427,"0,082686","0,087538","0,007238","0,340449"
428,"0,039625","0,048318","0,001915","0,175885"
429,"0,073993","0,070354","0,005206","0,288694"
430,"0,042051","0,048722","0,002049","0,181546"
431,"0,079047","0,0653","0,005162","0,288694"
432,"0,095018","0,079249","0,00753","0,348535"
433,"0,023451","0,034975","0,00082","0,116852"
434,"0,015769","0,018397","0,00029","0,068332"
435,"0,027495","0,02426","0,000667","0,103509"
436,"0,07561","0,038412","0,002904","0,228044"
437,"0,091379","0,050946","0,004655","0,284651"
438,"0,057415","0,07278","0,004179","0,260391"
439,"0,029314","0,028303","0,00083","0,115235"
440,"0,110787","0,070354","0,007794","0,362283"
441,"0,067928","0,060246","0,004092","0,256347"
442,"0,046498","0,034773","0,001617","0,162542"
443,"0,067726","0,026888","0,001821","0,189228"
444,"0,038614","0,040635","0,001569","0,158499"
445,"0,070354","0,057011","0,004011","0,25473"
446,"0,069545","0,038007","0,002643","0,215105"
447,"0,012231","0,010816","0,000132","0,046094"
448,"0,054181","0,049733","0,002695","0,207827"
449,"0,044679","0,047105","0,002105","0,183567"
450,"0,155264","0,112809","0,017515","0,536146"
451,"0,105329","0,115639","0,01218","0,441936"
452,"0,042253","0,051755","0,002187","0,188015"
453,"0,052159","0,073993","0,003859","0,252304"
454,"0,059033","0,071567","0,004225","0,261199"
455,"0,073589","0,08956","0,006591","0,326297"
456,"0,041242","0,045892","0,001893","0,174268"
457,"0,095827","0,137878","0,013212","0,467409"
458,"0,050946","0,079249","0,004037","0,260391"
459,"0,040838","0,056","0,002287","0,193676"
460,"0,144751","0,105531","0,015276","0,500565"
461,"0,103914","0,101488","0,010546","0,410803"
462,"0,063682","0,052361","0,003334","0,232087"
463,"0,03457","0,059841","0,002069","0,188824"
464,"0,090166","0,139091","0,012541","0,458514"
